aitable_record_id,source_created_at,source_updated_at,language_name,language_code
rec01kzUB6Pbb,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Polish,pl
receyQYnhvO6L,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Portuguese,pt
rec6FuwDYhgmX,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Portuguese (Brazil),pt-BR
reck0B9mKX3VM,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Portuguese (Portugal),pt-PT
recAmGa2tTkWz,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Punjabi,pa
rec8uzRv4uuki,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Quechua,qu
recjphqsbsMtw,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Romanian,ro
recMH7Cmazsen,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Romansh,rm
recErE6NEa8D1,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Russian,ru
recLNYzMz6x7I,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Serbian,sr
reczv6AVJs8O2,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Serbian (Latin),sr-Latn
reciKnSAhAUmr,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Sesotho,st
rec9GnTTaS8Jc,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Shona,sn
rechSqoFg70kk,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Silozi,loz
recpiT23e3H01,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Sindhi,sd
receZeZOLTneJ,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Sinhalese,si
recy2qUO86BGH,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Slovak,sk
recZQXaw0Xw80,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Slovenian,sl
recnIxtStkyMP,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Somali,so
recbKCTvxEQSS,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Spanish,es
recWPevDfjjL4,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Swahili,sw
recuCwfVwMTAs,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Swedish,sv
recrbowgByyS8,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Tajik,tg
recCshln9lHml,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Tamil,ta
recnJwx5U9yiX,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Telugu,te
recNzyYLX0NbL,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Thai,th
recGWCKffbEJh,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Tigrinya,ti
recjo7HV3RSum,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Tonga (Tonga Islands),to
rec60d8OI8Pex,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Tshiluba,lua
reclO0A2zKVEt,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Tswana,tn
recErF9jSiDBG,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Tumbuka,tum
recy73pYCnjtD,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Turkish,tr
recdgQAYTA9H6,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Turkmen,tk
rec2AqFg7TYuK,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Ukrainian,uk
recb3N5ZSdekI,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Urdu,ur
recDIFN28TwJc,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Uzbek,uz
recfG9HDMg9O7,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Vietnamese,vi
rec81rPtOz0Ny,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Wolof,wo
recyIh8C74bIV,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Xhosa,xh
recTTBPBRxjDs,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Yoruba,yo
recnRBBTMS9da,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Zulu,zu
